"07995: Døde. Foreløpige tall, etter kjønn, alder, uke, statistikkvariabel og år"

"kjønn";"alder";"uke";"Døde 2018";"Døde 2019";"Døde 2020";"Døde 2021";"Døde 2022"
"Begge kjønn";"Alle aldre";"Uke 1";938;872;862;830;957
"Begge kjønn";"Alle aldre";"Uke 2";872;829;952;868;910
"Begge kjønn";"Alle aldre";"Uke 3";945;812;837;860;826
"Begge kjønn";"Alle aldre";"Uke 4";857;835;862;851;821
"Begge kjønn";"Alle aldre";"Uke 5";881;889;815;792;921
"Begge kjønn";"Alle aldre";"Uke 6";904;843;796;813;888
"Begge kjønn";"Alle aldre";"Uke 7";928;914;855;768;903
"Begge kjønn";"Alle aldre";"Uke 8";917;828;813;756;988
"Begge kjønn";"Alle aldre";"Uke 9";907;821;836;705;970
"Begge kjønn";"Alle aldre";"Uke 10";950;833;799;790;928
"Begge kjønn";"Alle aldre";"Uke 11";867;837;826;788;993
"Begge kjønn";"Alle aldre";"Uke 12";905;805;810;769;986
"Begge kjønn";"Alle aldre";"Uke 13";807;791;854;719;893
"Begge kjønn";"Alle aldre";"Uke 14";820;782;831;778;950
"Begge kjønn";"Alle aldre";"Uke 15";827;757;840;751;859
"Begge kjønn";"Alle aldre";"Uke 16";778;761;816;752;837
"Begge kjønn";"Alle aldre";"Uke 17";781;800;777;777;839
"Begge kjønn";"Alle aldre";"Uke 18";757;775;749;695;826
"Begge kjønn";"Alle aldre";"Uke 19";738;773;741;705;812
"Begge kjønn";"Alle aldre";"Uke 20";714;732;686;740;824
"Begge kjønn";"Alle aldre";"Uke 21";692;741;740;728;716
"Begge kjønn";"Alle aldre";"Uke 22";758;730;662;725;.
"Begge kjønn";"Alle aldre";"Uke 23";714;707;677;727;.
"Begge kjønn";"Alle aldre";"Uke 24";671;737;731;685;.
"Begge kjønn";"Alle aldre";"Uke 25";703;725;739;696;.
"Begge kjønn";"Alle aldre";"Uke 26";741;767;684;719;.
"Begge kjønn";"Alle aldre";"Uke 27";776;736;697;770;.
"Begge kjønn";"Alle aldre";"Uke 28";737;735;668;716;.
"Begge kjønn";"Alle aldre";"Uke 29";721;742;754;756;.
"Begge kjønn";"Alle aldre";"Uke 30";773;721;729;744;.
"Begge kjønn";"Alle aldre";"Uke 31";679;729;746;767;.
"Begge kjønn";"Alle aldre";"Uke 32";705;706;738;777;.
"Begge kjønn";"Alle aldre";"Uke 33";694;734;734;789;.
"Begge kjønn";"Alle aldre";"Uke 34";754;678;745;784;.
"Begge kjønn";"Alle aldre";"Uke 35";715;779;699;791;.
"Begge kjønn";"Alle aldre";"Uke 36";694;714;710;786;.
"Begge kjønn";"Alle aldre";"Uke 37";706;708;785;820;.
"Begge kjønn";"Alle aldre";"Uke 38";722;756;773;817;.
"Begge kjønn";"Alle aldre";"Uke 39";712;820;743;806;.
"Begge kjønn";"Alle aldre";"Uke 40";702;711;783;804;.
"Begge kjønn";"Alle aldre";"Uke 41";715;788;743;802;.
"Begge kjønn";"Alle aldre";"Uke 42";744;785;713;846;.
"Begge kjønn";"Alle aldre";"Uke 43";696;794;796;894;.
"Begge kjønn";"Alle aldre";"Uke 44";814;776;791;918;.
"Begge kjønn";"Alle aldre";"Uke 45";776;785;777;953;.
"Begge kjønn";"Alle aldre";"Uke 46";737;846;780;916;.
"Begge kjønn";"Alle aldre";"Uke 47";720;784;800;948;.
"Begge kjønn";"Alle aldre";"Uke 48";802;780;774;968;.
"Begge kjønn";"Alle aldre";"Uke 49";823;851;788;1047;.
"Begge kjønn";"Alle aldre";"Uke 50";759;783;841;978;.
"Begge kjønn";"Alle aldre";"Uke 51";802;774;823;968;.
"Begge kjønn";"Alle aldre";"Uke 52";873;805;830;929;.
"Begge kjønn";"Alle aldre";"Uke 53";.;.;839;.;.
"Begge kjønn";"0 år";"Uke 1";1;2;2;1;1
"Begge kjønn";"0 år";"Uke 2";2;3;.;.;3
"Begge kjønn";"0 år";"Uke 3";4;2;1;2;3
"Begge kjønn";"0 år";"Uke 4";.;.;2;4;2
"Begge kjønn";"0 år";"Uke 5";3;3;3;3;.
"Begge kjønn";"0 år";"Uke 6";2;4;.;.;.
"Begge kjønn";"0 år";"Uke 7";3;2;1;1;3
"Begge kjønn";"0 år";"Uke 8";1;2;3;.;3
"Begge kjønn";"0 år";"Uke 9";5;1;1;.;1
"Begge kjønn";"0 år";"Uke 10";3;3;.;7;2
"Begge kjønn";"0 år";"Uke 11";2;2;1;6;3
"Begge kjønn";"0 år";"Uke 12";2;3;6;2;1
"Begge kjønn";"0 år";"Uke 13";4;2;4;.;3
"Begge kjønn";"0 år";"Uke 14";3;.;5;.;5
"Begge kjønn";"0 år";"Uke 15";1;.;2;2;1
"Begge kjønn";"0 år";"Uke 16";4;.;2;4;2
"Begge kjønn";"0 år";"Uke 17";2;2;2;3;.
"Begge kjønn";"0 år";"Uke 18";2;4;1;3;2
"Begge kjønn";"0 år";"Uke 19";2;.;3;1;1
"Begge kjønn";"0 år";"Uke 20";.;6;2;2;2
"Begge kjønn";"0 år";"Uke 21";5;.;2;2;1
"Begge kjønn";"0 år";"Uke 22";6;1;3;1;.
